States ,,Scheme_Name,,,,,,,Description,,,,,,,,,,Eligibilty_criteria,,,,,,,,,,,,,,,Tags,,,,,,,,Links
All,,Pradhan Mantri Kisan Maan Dhan Yojana,,,,,,, the farmers would receive a minimum assured pension of ₹ 3000/- per month after attaining the age of 60 and pension after being deceased,,,,,,,,,,"Personal identity: Adhaar,State: all,occupation: farmer,Register:land,caste: all, Age: 18 yrs+, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"central,Agriculture,KisanPension,Small & Marginal Farmers",,,,,,,,https://www.myscheme.gov.in/schemes/pmkmy
Himachal Pradesh,,Mukhyamantri Krishi Utpadan Sanrakshan Yojana,,,,,,,"subsidy for anti hail fencing, solar fencing and green house renovation",,,,,,,,,,"Personal identity: Adhaar,State: Himachal pradesh,occupation: farmer,Register:land,caste: all, Age: 18 yrs+, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"AgricultureCrop Protection,Financial Assistance, SheetsSolar, FencingSubsidy",,,,,,,,https://www.myscheme.gov.in/schemes/mkusy
All,,Pradhan Mantri Fasal Bima Yojna,,,,,,," To provide insurance coverage and financial support to the farmers in the event of failure of any of the notified crops as a result of natural calamities, pests & diseases",,,,,,,,,,"Personal identity: Adhaar,State: all,occupation: farmer,Register:land,caste: all, Age: 18 yrs+, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"central,Crop Insurance,Farmers,Kharif,Rabi",,,,,,,,https://www.myscheme.gov.in/schemes/pmfby
Arunachal Pradesh ,,Chief Minister’s Shasakt Kisan Yojana,,,,,,,To increase production and productivity and also to maintain a marketable surplus of major fruit crops in the State as well as to double farmer’s income,,,,,,,,,,"Personal identity: Adhaar,State: Arunachal Pradesh,occupation: farmer,Register:land,caste: all, Age: 18 yrs+, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"arunachal pradeshFarmer,Financial Assistance,Horticulture,Self-employment,Tea",,,,,,,,https://www.myscheme.gov.in/schemes/cm-sky
All,,Rashtriya Krishi Vikas Yojana,,,,,,," to make farming a remunerative economic activity by strengthening farmers‟ efforts, risk mitigation and agri-business entrepreneurship",,,,,,,,,,"Personal identity: Adhaar,State: all,occupation: farmer,Register:land,caste: all, Age: 18 yrs+, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"central,KRISHI,RAFTAAR,RASHTRIYA,RKVY",,,,,,,,https://www.myscheme.gov.in/schemes/rkvy
Central,,Pradhan Mantri Matsya Sampada Yojana,,,,,,,"To bring ecologically healthy, economically viable, and socially inclusive development of the fisheries sector ",,,,,,,,,,"Personal identity: Adhaar,State: all,occupation: fisher,Register:livestock,caste: all, Age: all, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"Fishers, Fish Farmers, Fish Workers, Fisheries Corporations, SHGs, Entrepreneurs, SCs/STs/Women, State/UT Entities, Central Government Entities.",,,,,,,,https://www.myscheme.gov.in/schemes/pmmsy
Central,,Support for Value Addition - Support to R&G units,,,,,,,To enhance the quality of coffee products and achieve value addition ,,,,,,,,,,"Personal identity: Adhaar,State: all,occupation: farmer,Register:land,caste: all, Age: all, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"individuals, partnerships, SHGs, and Growers’ collectives for new coffee roasting units, requiring a valid business license.",,,,,,,,https://www.myscheme.gov.in/schemes/icdpsva-srgu
Central,,Coffee Development Programme in North Eastern Region,,,,,,,to encourage coffee growers to improve quality for higher returns and improve access to high-value specialty markets ,,,,,,,,,,"Personal identity: Adhaar,State: all,occupation: farmer,Register:land,caste: all, Age: all, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"SHGs, Collectives, Tribal Growers, Certification, Sustainability Standards, Organic, Fair Trade, Rainforest Alliance, UTZ, Bird Friendly, Shade Grown Coffee, NPOP, Accredited Agencies, MTF Period.",,,,,,,,https://www.myscheme.gov.in/schemes/cdpnerec
Central,,Rashtriya Krishi Vikas Yojana,,,,,,,"Centrally sponsored scheme empowers states to choose development activities for holistic agriculture and allied sector growth, aligning with district/state agriculture plans.",,,,,,,,,,"Personal identity: Adhaar,State: all,occupation: farmer,Register:land,caste: all, Age: all, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"RKVY,Crop Husbandry, Animal Husbandry, Fisheries, Dairy, Research, Education, Forestry, Wildlife, Plantation, Marketing, Storage, Conservation, Financial Institutions, Cooperation. ",,,,,,,,https://www.myscheme.gov.in/schemes/rkvy#eligibility
Central,,Development Support for Coffee in Traditional Areas,,,,,,,to access high-value speciality markets through the production of eco-certified coffees to realize higher returns,,,,,,,,,,"Personal identity: Adhaar,State: all,occupation: farmer,Register:land,caste: all, Age: all, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"Individual Growers, Small Grower Groups, SHGs, Sustainability Standards, Quality Standards, Eligibility, Subsidy, MIDH, Certification Support, Organic, Fair Trade, Rainforest Alliance, UTZ, Bird Friendly, NPOP, EU Regulation, NOP, JAS, Certification Agencies, Non-Traditional Areas, Coffee Growers.",,,,,,,,https://www.myscheme.gov.in/schemes/dsctawa
Central,,Agricultural Marketing Infrastructure,,,,,,,meant for holistic development of agricultural value chain critically focusing each linkage of post-harvest value chain.,,,,,,,,,,"Personal identity: Adhaar,State: all,occupation: farmer,Register:land,caste: all, Age: all, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"Agricultural Marketing,Farmer,Promoter,Storage Infrastructure",,,,,,,,https://www.myscheme.gov.in/schemes/ami
Central,,Tea Development and Promotion Scheme (TDPS),,,,,,,"To increase the production, productivity and quality of tea, overall development of small tea growers ",,,,,,,,,,"Personal identity: Adhaar,State: all,occupation: farmer,Register:land,caste: all, Age: all, Gender: Both,ownership:yes",,,,,,,,,,,,,,," tea growers ,self-help groups ,Farmers' Producer Organizations.",,,,,,,,https://www.myscheme.gov.in/schemes/tdpspdstgmisg
Central,,National Mission on Natural Farming,,,,,,,To motivate farmers to adopt chemical free farming and enhance the reach of natural farming,,,,,,,,,,"Personal identity: Adhaar,State: all,occupation: farmer,Register:land,caste: all, Age: all, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"Agro Ecology,Chemical-free,FarmingNatural Farming",,,,,,,,https://www.myscheme.gov.in/schemes/nmnf
Central,,Agri-Clinics And Agri-Business Centres Scheme,,,,,,,"Aims at agricultural development by supplementing public extension efforts, offering services to farmers on either a payment basis or free of cost.",,,,,,,,,,"Personal identity: Adhaar,State: all,occupation: farmer,Register:land,caste: all, Age: 18 +, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"Age 18-60, Graduates in Agriculture, Diploma Holders, Biological Science Postgraduates, UGC-recognized, 60% Content, Intermediate Courses (55%).",,,,,,,,https://www.myscheme.gov.in/schemes/acandabc
Central,,Krishi Unnati Yojana - MOVCDNER,,,,,,,The Ministry of Agriculture and Farmer Welfare has launched a scheme to promote organic farming and develop value chains in the North Eastern Region.,,,,,,,,,,"Personal identity: Adhaar,State: all,occupation: farmer,Register:land,caste: all, Age: all, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"Krishi,KUY,MOVCDNER,Unnati",,,,,,,,https://www.myscheme.gov.in/schemes/kuy-movcdner
Central,,Pradhan Mantri Adarsh Gram Yojana,,,,,,,An area-based development approach with the goal of integrated development for villages with a majority of Scheduled Castes.,,,,,,,,,,"Personal identity: Adhaar,State: all,occupation: farmer,Register:land,caste: all, Age: all, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"Rural Development,Social Justice",,,,,,,,https://www.myscheme.gov.in/schemes/pmagy#eligibility
Central,,Krishonnati Yojana ,,,,,,,"The SMSP aims to boost certified seed production, increase SRR, upgrade farm-saved seeds, strengthen the seed multiplication chain, and promote new technologies in seed processes.",,,,,,,,,,"Personal identity: Adhaar,State: all,occupation: farmer,Register:land,caste: all, Age: all, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"Agriculture,Farmer,Subsidy",,,,,,,,https://www.myscheme.gov.in/schemes/ky-smsp
Central,, Students Ready,,,,,,,The Student Rural Entrepreneurship Awareness Development Yojana (READY) was launched by Hon'ble Prime Minister on 25 July 2015.,,,,,,,,,,"Personal identity: Adhaar,State: all,occupation: farmer,Register:land,caste: all, Age: all, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"UG student,agricultural courses,recognized institutions, maintaining merit ,good conduct.,Absence,prior permission;agitation/strike,part-time jobs ",,,,,,,,https://www.myscheme.gov.in/schemes/sr
Central,,Galvanizing Organic Bio-Agro Resources Dhan (GOBARdhan),,,,,,,To positively impact village cleanliness and generate wealth and energy from cattle and organic waste,,,,,,,,,,"Personal identity: Adhaar,State: all,occupation: farmer,Register:land,caste: all, Age: all, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"Agriculture,Renewable Energy,Solid Waste Management",,,,,,,,https://www.myscheme.gov.in/schemes/gobardhan
Central,,RKVY Soil Health and Fertility - Soil Health Card,,,,,,,"To give each farmer soil nutrient status of his/her holding and advice him/her on the dosage of fertilizers and also the needed soil amendments,",,,,,,,,,,"Personal identity: Adhaar,State: all,occupation: farmer,Register:land,caste: all, Age: all, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"Farmer,INM,RKVY,Soil Health,Soil Testing",,,,,,,,https://www.myscheme.gov.in/schemes/rkvyshfshc
Central,,Pradhan Mantri Kisan Samman Nidhi,,,,,,,"To offer income support to all landholding farmers' families nationwide, supplementing their financial requirements for agricultural inputs and allied activities",,,,,,,,,,"Personal identity: Adhaar,State: all,occupation: farmer,Register:land,caste: all, Age: all, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"Agricultural Inputs,Agriculture,FarmersI,ncome Support, Kisan",,,,,,,,https://www.myscheme.gov.in/schemes/pm-kisan
Central,,Sub-mission On Agriculture Mechanization,,,,,,,The Sub-Mission on Agricultural Mechanization was launched in 2014-15 by the Ministry of Agriculture and Farmers’ Welfare.,,,,,,,,,,"Personal identity: Adhaar,State: all,occupation: farmer,Register:land,caste: all, Age: all, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"Landholding farmers' families, SHGs,Cooperative Societies, FPOs,Entrepreneurs,Indian nationals; women farmers,financially weak farmers, ",,,,,,,,https://www.myscheme.gov.in/schemes/pm-kisan
Central,,Agricultural Extension,,,,,,,helps farmers to get information regarding scientific research and new knowledge in agricultural practices.,,,,,,,,,,"Personal identity: Adhaar,State: all,occupation: farmer,Register:land,caste: all, Age: 18 +, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"18-60 age group,graduates in agriculture,allied subjects, environmental science, botany, zoology,chemistry.  Diploma/PG Diploma holders, Post Graduates,over 60% content in Agriculture.",,,,,,,,https://www.myscheme.gov.in/schemes/ae#eligibility
Central,,Rainfed Area Development,,,,,,,To mainstream development of rainfed areas in a sustainable manner. ,,,,,,,,,,"Personal identity: Adhaar,State: all,occupation: farmer,Register:land,caste: all, Age: all, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"Dryland Agriculture,Rainfed,Sustainable Agriculture,Watershed",,,,,,,,https://www.myscheme.gov.in/schemes/rad
Central,,Paramparagat Krishi Vikas Yojana,,,,,,,"Launched in 2015, PKVY is an extension of Soil Health Management (SHM) under the Centrally Sponsored Scheme, National Mission on Sustainable Agriculture.",,,,,,,,,,"Personal identity: Adhaar,State: all,occupation: farmer,Register:land<2 hecter,caste: all, Age: all, Gender: Both,ownership:yes",,,,,,,,,,,,,,,"Organic Farming,Pesticide-free Agriculture,Soil Health",,,,,,,,https://www.myscheme.gov.in/schemes/pkvy#eligibility
